Utah Jazz,671,.358,2307,.476,1308,.769,1463,598,312,7935
San Antonio Spurs,668,.344,2364,.483,1315,.771,1757,614,333,8047
Memphis Grizzlies,813,.354,2051,.492,1658,.753,1645,574,410,8199
Dallas Mavericks,788,.380,2247,.510,1411,.772,1743,535,280,8269
Miami Heat,639,.343,2469,.490,1518,.782,1611,556,398,8373
Chicago Bulls,731,.345,2505,.503,1197,.770,1939,602,378,8400
Detroit Pistons,767,.366,2377,.502,1346,.780,1929,551,339,8401
Toronto Raptors,794,.354,2258,.495,1519,.780,1786,547,392,8417
Milwaukee Bucks,816,.353,2300,.512,1464,.771,1974,609,375,8512
Atlanta Hawks,893,.357,2285,.491,1280,.772,1919,738,424,8529
Golden State Warriors,737,.324,2444,.485,1450,.761,1862,705,313,8549
Los Angeles Clippers,753,.350,2410,.497,1480,.772,1891,577,258,8559
Charlotte Hornets,950,.369,2287,.506,1161,.776,2012,539,450,8585
Indiana Pacers,849,.355,2266,.501,1557,.789,1832,661,407,8636
Boston Celtics,735,.332,2433,.505,1570,.769,1851,623,425,8641
Oklahoma City Thunder,724,.356,2491,.502,1525,.764,1758,698,450,8679
New Orleans Pelicans,863,.353,2423,.499,1293,.762,1921,603,348,8728
Minnesota Timberwolves,811,.366,2435,.528,1445,.768,1896,629,413,8748
Sacramento Kings,896,.364,2257,.517,1546,.778,1941,694,420,8748
Cleveland Cavaliers,850,.361,2483,.504,1271,.773,2024,598,349,8787
Washington Wizards,810,.364,2443,.514,1489,.751,1870,606,377,8805
Orlando Magic,794,.367,2510,.510,1425,.766,1936,622,419,8827
New York Knicks,806,.348,2453,.506,1533,.771,1786,615,377,8857
Philadelphia 76ers,729,.357,2515,.503,1650,.773,1859,704,446,8867
Portland Trail Blazers,762,.370,2451,.489,1706,.785,1688,633,431,8894
Houston Rockets,820,.343,2555,.522,1415,.778,1979,697,409,8985
Denver Nuggets,808,.375,2646,.519,1403,.782,1972,681,404,9119
Los Angeles Lakers,830,.370,2575,.536,1499,.762,2110,698,440,9139
Brooklyn Nets,816,.366,2598,.498,1581,.772,1888,780,457,9225
Phoenix Suns,825,.382,2475,.504,1868,.783,1818,663,435,9293
