Russell Westbrook\westbru01,Oklahoma City Thunder,34.6,10.2,24.0,.425,2.5,7.2,.343,7.7,16.8,.459,.476,8.8,10.4,.845,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6
Victor Oladipo\oladivi01,Oklahoma City Thunder,33.2,6.1,13.9,.442,1.9,5.3,.361,4.3,8.7,.491,.510,1.7,2.3,.753,0.6,3.8,4.3,2.6,1.2,0.3,1.8,2.3,15.9
Andre Roberson\roberan03,Oklahoma City Thunder,30.1,2.7,5.9,.464,0.6,2.3,.245,2.2,3.5,.609,.513,0.6,1.4,.423,1.2,3.9,5.1,1.0,1.2,1.0,0.6,2.6,6.6
Steven Adams\adamsst01,Oklahoma City Thunder,29.9,4.7,8.2,.571,0.0,0.0,.000,4.7,8.2,.572,.571,2.0,3.2,.611,3.5,4.2,7.7,1.1,1.1,1.0,1.8,2.4,11.3
Enes Kanter\kanteen01,Oklahoma City Thunder,21.3,5.6,10.2,.545,0.1,0.5,.132,5.5,9.7,.568,.549,3.1,4.0,.786,2.7,4.0,6.7,0.9,0.4,0.5,1.7,2.1,14.3
Taj Gibson\gibsota01,Oklahoma City Thunder,21.2,3.9,7.8,.497,0.0,0.0,1000,3.8,7.7,.494,.500,1.2,1.7,.718,1.7,2.8,4.5,0.6,0.6,0.7,1.2,1.7,9.0
Ersan Ilyasova\ilyaser01,Oklahoma City Thunder,20.7,2.0,5.3,.375,1.0,4.0,.250,1.0,1.3,.750,.469,0.0,0.0,0,0.7,4.7,5.3,0.3,1.0,0.3,1.3,1.7,5.0
Domantas Sabonis\sabondo01,Oklahoma City Thunder,20.1,2.4,5.9,.399,0.6,2.0,.321,1.7,4.0,.438,.452,0.5,0.8,.657,0.6,3.0,3.6,1.0,0.5,0.4,1.0,2.5,5.9
Doug McDermott\mcderdo01,Oklahoma City Thunder,19.5,2.5,5.6,.452,1.0,2.6,.362,1.6,3.0,.530,.536,0.5,0.8,.706,0.3,2.0,2.2,0.6,0.1,0.0,0.3,1.0,6.6
Jerami Grant\grantje01,Oklahoma City Thunder,19.1,1.9,4.0,.469,0.6,1.5,.377,1.3,2.5,.523,.539,1.1,1.8,.619,0.5,2.1,2.6,0.6,0.4,1.0,0.5,1.8,5.4
Cameron Payne\payneca01,Oklahoma City Thunder,16.0,2.2,6.5,.331,0.8,2.6,.308,1.4,3.9,.346,.392,0.2,0.2,1000,0.1,1.5,1.6,2.0,0.5,0.2,0.8,1.9,5.3
Anthony Morrow\morroan01,Oklahoma City Thunder,15.7,2.2,5.6,.386,0.9,3.0,.294,1.3,2.6,.490,.464,0.6,0.7,.885,0.3,0.5,0.7,0.5,0.6,0.1,0.2,1.0,5.8
Josh Huestis\huestjo01,Oklahoma City Thunder,15.5,3.0,5.5,.545,1.0,2.0,.500,2.0,3.5,.571,.636,0.0,0.5,.000,2.0,2.5,4.5,1.5,0.0,1.5,0.0,0.0,7.0
Alex Abrines\abrinal01,Oklahoma City Thunder,15.5,2.0,5.0,.393,1.4,3.6,.381,0.6,1.4,.426,.531,0.6,0.7,.898,0.3,1.0,1.3,0.6,0.5,0.1,0.5,1.7,6.0
Semaj Christon\chrisse01,Oklahoma City Thunder,15.2,1.2,3.5,.345,0.2,1.0,.190,1.0,2.5,.406,.372,0.3,0.5,.548,0.3,1.1,1.4,2.0,0.4,0.1,0.7,1.2,2.9
Joffrey Lauvergne\lauvejo01,Oklahoma City Thunder,14.8,2.2,4.9,.455,0.5,1.6,.346,1.7,3.3,.506,.510,0.7,1.2,.638,1.0,2.6,3.7,1.0,0.4,0.1,0.8,1.4,5.7
Kyle Singler\singlky01,Oklahoma City Thunder,12.0,1.1,2.6,.410,0.2,1.2,.189,0.8,1.4,.587,.452,0.4,0.5,.765,0.3,1.3,1.5,0.3,0.2,0.2,0.3,0.9,2.8
Norris Cole\coleno01,Oklahoma City Thunder,9.6,1.2,4.0,.308,0.2,1.0,.231,1.0,3.0,.333,.337,0.6,0.8,.800,0.0,0.8,0.8,1.1,0.6,0.0,0.5,1.4,3.3
Nick Collison\collini01,Oklahoma City Thunder,6.4,0.7,1.2,.609,0.0,0.1,.000,0.7,1.1,.636,.609,0.3,0.4,.625,0.5,1.1,1.6,0.6,0.1,0.1,0.2,0.9,1.71
Rudy Gay\gayru01,Sacramento Kings,33.8,6.7,14.7,.455,1.4,3.8,.372,5.3,11.0,.483,.502,3.9,4.6,.855,1.2,5.2,6.3,2.8,1.5,0.9,2.5,2.6,18.7
Darren Collison\collida01,Sacramento Kings,30.3,5.0,10.5,.476,1.1,2.6,.417,3.9,7.9,.495,.527,2.2,2.5,.860,0.3,1.9,2.2,4.6,1.0,0.1,1.7,1.8,13.2
Buddy Hield\hieldbu01,Sacramento Kings,29.1,5.7,11.8,.480,2.4,5.5,.428,3.3,6.3,.525,.579,1.4,1.7,.814,0.6,3.5,4.1,1.8,0.8,0.1,2.1,1.4,15.1
Garrett Temple\templga01,Sacramento Kings,26.6,2.8,6.6,.424,1.3,3.4,.373,1.6,3.3,.476,.519,0.9,1.1,.784,0.5,2.3,2.8,2.6,1.3,0.4,1.2,2.2,7.8
Arron Afflalo\afflaar01,Sacramento Kings,25.9,3.0,6.9,.440,1.0,2.5,.411,2.0,4.4,.457,.514,1.4,1.5,.892,0.1,1.9,2.0,1.3,0.3,0.1,0.7,1.7,8.4
Matt Barnes\barnema02,Sacramento Kings,25.3,2.7,7.1,.384,1.3,3.9,.327,1.4,3.2,.453,.474,0.9,1.2,.758,1.0,4.4,5.4,2.8,0.7,0.3,1.5,2.6,7.6
Ty Lawson\lawsoty01,Sacramento Kings,25.1,3.4,7.6,.454,0.5,1.7,.288,2.9,5.9,.502,.487,2.5,3.1,.797,0.6,2.0,2.6,4.8,1.1,0.1,1.9,1.7,9.9
Anthony Tolliver\tollian01,Sacramento Kings,22.7,2.4,5.4,.442,1.4,3.5,.391,1.0,1.9,.537,.570,0.9,1.3,.744,0.8,2.9,3.6,1.2,0.5,0.3,0.9,1.7,7.1
Tyreke Evans\evansty01,Sacramento Kings,22.4,4.2,10.2,.413,1.5,3.4,.438,2.7,6.8,.400,.486,1.7,2.4,.706,0.5,3.1,3.6,2.4,0.9,0.4,1.6,1.4,11.6
Kosta Koufos\koufoko01,Sacramento Kings,20.0,3.0,5.5,.551,0.0,0.0,.000,3.0,5.5,.552,.551,0.5,0.9,.613,1.7,4.0,5.7,0.7,0.5,0.7,0.9,2.4,6.6
Langston Galloway\gallola01,Sacramento Kings,19.7,2.2,5.5,.404,1.0,2.1,.475,1.2,3.4,.359,.495,0.6,0.6,.917,0.4,1.5,1.8,1.5,0.3,0.1,0.9,1.1,6.0
Ben McLemore\mclembe01,Sacramento Kings,19.3,3.0,6.9,.430,1.1,2.8,.382,1.9,4.1,.462,.507,1.1,1.5,.753,0.3,1.8,2.1,0.8,0.5,0.1,1.0,1.8,8.1
Willie Cauley-Stein\caulewi01,Sacramento Kings,18.9,3.4,6.4,.530,0.0,0.0,.000,3.4,6.4,.532,.530,1.3,2.0,.669,1.1,3.4,4.5,1.1,0.7,0.6,0.9,2.0,8.1
Skal Labissiere\labissk01,Sacramento Kings,18.5,3.5,6.6,.537,0.1,0.2,.375,3.5,6.4,.543,.544,1.6,2.2,.703,1.5,3.4,4.9,0.8,0.5,0.4,1.1,1.9,8.8
Omri Casspi\casspom01,Sacramento Kings,18.0,2.4,5.3,.453,0.5,1.3,.379,1.9,4.0,.477,.500,0.5,1.0,.571,0.9,3.2,4.1,1.2,0.5,0.0,0.8,1.0,5.9
Jordan Farmar\farmajo01,Sacramento Kings,17.5,2.0,6.0,.333,2.0,4.5,.444,0.0,1.5,.000,.500,0.0,0.0,0,0.5,1.0,1.5,4.5,1.0,0.0,1.5,0.5,6.0
Georgios Papagiannis\papagge01,Sacramento Kings,16.1,2.5,4.6,.549,0.0,0.1,.000,2.5,4.5,.560,.549,0.5,0.6,.857,1.1,2.8,3.9,0.9,0.1,0.8,1.1,2.0,5.6
Malachi Richardson\richama01,Sacramento Kings,9.0,1.3,3.1,.412,0.4,1.3,.286,0.9,1.8,.500,.471,0.7,0.9,.789,0.1,0.9,1.0,0.5,0.2,0.0,0.4,1.0,3.6
Anthony Davis\davisan02,New Orleans Pelicans,36.1,10.3,20.3,.505,0.5,1.8,.299,9.7,18.6,.524,.518,6.9,8.6,.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28.0
DeMarcus Cousins\couside01,New Orleans Pelicans,33.8,8.4,18.5,.452,2.1,5.6,.375,6.2,12.8,.486,.510,5.5,7.1,.777,2.2,10.2,12.4,3.9,1.5,1.1,3.6,4.4,24.4
Jrue Holiday\holidjr01,New Orleans Pelicans,32.7,6.0,13.3,.454,1.5,4.2,.356,4.6,9.1,.498,.510,1.8,2.5,.708,0.7,3.3,3.9,7.3,1.5,0.7,2.9,2.0,15.4
Solomon Hill\hillso01,New Orleans Pelicans,29.7,2.3,6.0,.383,1.2,3.4,.348,1.1,2.6,.428,.481,1.3,1.6,.805,0.6,3.2,3.8,1.8,0.9,0.4,1.0,2.3,7.0
Lance Stephenson\stephla01,New Orleans Pelicans,27.0,4.3,9.2,.473,0.2,1.7,.100,4.2,7.5,.556,.482,0.8,1.3,.625,0.5,2.5,3.0,4.8,0.3,0.2,1.8,3.0,9.7
Dante Cunningham\cunnida01,New Orleans Pelicans,25.0,2.6,5.4,.485,1.1,2.7,.392,1.6,2.7,.579,.584,0.2,0.4,.593,0.8,3.3,4.2,0.6,0.6,0.4,0.4,1.5,6.6
E'Twaun Moore\mooreet01,New Orleans Pelicans,24.9,3.9,8.5,.457,1.1,2.8,.370,2.8,5.6,.501,.519,0.8,1.0,.770,0.5,1.6,2.1,2.2,0.7,0.4,0.8,1.8,9.6
Terrence Jones\joneste01,New Orleans Pelicans,24.8,4.5,9.6,.472,0.4,1.5,.253,4.2,8.1,.512,.492,2.0,3.3,.606,1.3,4.7,5.9,1.2,0.8,1.0,0.9,1.3,11.5
Omri Casspi\casspom01,New Orleans Pelicans,24.0,5.0,9.0,.556,2.0,4.0,.500,3.0,5.0,.600,.667,0.0,0.0,0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,12.0
Tim Frazier\fraziti01,New Orleans Pelicans,23.5,2.5,6.2,.403,0.6,2.0,.313,1.9,4.2,.446,.453,1.5,2.0,.760,0.5,2.1,2.7,5.2,0.9,0.1,1.6,2.0,7.1
Jordan Crawford\crawfjo02,New Orleans Pelicans,23.3,5.5,11.5,.482,1.9,5.0,.389,3.6,6.5,.553,.567,1.1,1.4,.769,0.2,1.6,1.8,3.0,0.6,0.1,1.3,1.6,14.1
Hollis Thompson\thompho01,New Orleans Pelicans,21.2,1.2,4.6,.268,0.7,2.7,.250,0.6,1.9,.294,.341,0.7,1.0,.667,0.4,2.7,3.1,1.0,0.7,0.0,0.2,1.6,3.8
Axel Toupane\toupaax01,New Orleans Pelicans,20.5,2.5,4.0,.625,0.5,1.5,.333,2.0,2.5,.800,.688,0.0,0.0,0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,2.5,5.5
Langston Galloway\gallola01,New Orleans Pelicans,20.4,3.0,8.0,.374,1.8,4.9,.377,1.2,3.1,.370,.489,0.7,0.9,.769,0.4,1.8,2.2,1.2,0.7,0.1,0.5,1.4,8.6
Buddy Hield\hieldbu01,New Orleans Pelicans,20.4,3.2,8.3,.393,1.6,4.2,.369,1.7,4.0,.417,.487,0.5,0.6,.879,0.3,2.6,2.9,1.4,0.3,0.1,0.8,1.4,8.6
Tyreke Evans\evansty01,New Orleans Pelicans,18.2,3.5,8.7,.401,0.8,2.7,.300,2.7,6.0,.446,.447,1.7,2.2,.776,0.2,3.1,3.3,3.5,0.9,0.2,1.5,1.6,9.5
Jarrett Jack\jackja01,New Orleans Pelicans,16.5,1.0,1.5,.667,0.0,0.5,.000,1.0,1.0,1000,.667,1.0,1.0,1000,0.0,0.0,0.0,2.5,1.0,0.0,1.5,2.0,3.0
Anthony Brown\brownan02,New Orleans Pelicans,15.9,1.6,4.6,.341,0.7,2.7,.250,0.9,1.9,.471,.415,0.0,0.0,0,0.7,2.2,2.9,0.7,0.6,0.1,0.6,1.4,3.8
Wayne Selden\seldewa01,New Orleans Pelicans,15.7,1.7,2.7,.625,1.3,2.3,.571,0.3,0.3,1000,.875,0.7,1.3,.500,0.0,1.7,1.7,0.3,0.7,0.0,1.0,2.0,5.3
Omer Asik\asikom01,New Orleans Pelicans,15.5,1.0,2.1,.477,0.0,0.0,0,1.0,2.1,.477,.477,0.7,1.3,.590,1.5,3.7,5.3,0.5,0.2,0.3,0.5,1.6,2.7
Alexis Ajinca\ajincal01,New Orleans Pelicans,15.0,2.3,4.6,.500,0.0,0.1,.000,2.3,4.5,.511,.500,0.7,1.0,.725,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2.0,5.3
Donatas Motiejunas\motiedo01,New Orleans Pelicans,14.1,1.7,4.1,.413,0.3,1.4,.234,1.4,2.7,.505,.453,0.7,1.4,.510,0.8,2.2,3.0,0.9,0.5,0.3,0.9,1.6,4.4
Reggie Williams\willire02,New Orleans Pelicans,13.2,1.3,3.8,.348,0.8,1.8,.455,0.5,2.0,.250,.457,1.0,1.2,.857,0.3,0.7,1.0,0.7,0.5,0.0,0.0,0.3,4.5
Quinn Cook\cookqu01,New Orleans Pelicans,12.3,2.4,4.6,.537,0.7,1.3,.500,1.8,3.2,.552,.610,0.2,0.3,.667,0.1,0.3,0.4,1.6,0.3,0.0,0.6,0.8,5.8
Cheick Diallo\diallch01,New Orleans Pelicans,11.7,2.1,4.5,.474,0.0,0.0,0,2.1,4.5,.474,.474,0.9,1.2,.714,1.4,2.9,4.3,0.2,0.2,0.4,0.4,1.0,5.1
Archie Goodwin\goodwar01,New Orleans Pelicans,10.0,0.7,1.7,.400,0.3,0.7,.500,0.3,1.0,.333,.500,3.3,3.3,1000,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3,5.0
Andrew Wiggins\wiggian01,Minnesota Timberwolves,37.2,8.6,19.1,.452,1.3,3.5,.356,7.4,15.6,.473,.484,5.0,6.6,.760,1.2,2.8,4.0,2.3,1.0,0.4,2.3,2.2,23.6
Zach LaVine\lavinza01,Minnesota Timberwolves,37.2,6.9,15.1,.459,2.6,6.6,.387,4.4,8.5,.515,.544,2.5,3.0,.836,0.4,3.0,3.4,3.0,0.9,0.2,1.8,2.2,18.9
Karl-Anthony Towns\townska01,Minnesota Timberwolves,37.0,9.8,18.0,.542,1.2,3.4,.367,8.5,14.7,.582,.576,4.3,5.2,.832,3.6,8.7,12.3,2.7,0.7,1.3,2.6,2.9,25.1
Ricky Rubio\rubiori01,Minnesota Timberwolves,32.9,3.5,8.7,.402,0.8,2.6,.306,2.7,6.1,.443,.448,3.4,3.8,.891,0.9,3.2,4.1,9.1,1.7,0.1,2.6,2.7,11.1
Gorgui Dieng\dienggo01,Minnesota Timberwolves,32.4,4.0,8.1,.502,0.2,0.5,.372,3.9,7.5,.511,.514,1.7,2.0,.814,2.3,5.6,7.9,1.9,1.1,1.2,1.3,3.1,10.0
Brandon Rush\rushbr01,Minnesota Timberwolves,21.9,1.5,4.0,.374,0.9,2.4,.386,0.6,1.6,.356,.492,0.3,0.4,.722,0.3,1.8,2.1,1.0,0.5,0.5,0.6,0.9,4.2
Shabazz Muhammad\muhamsh01,Minnesota Timberwolves,19.4,3.7,7.7,.482,0.6,1.9,.338,3.1,5.8,.528,.523,1.9,2.4,.774,1.1,1.7,2.8,0.4,0.3,0.1,0.7,1.1,9.9
Nemanja Bjelica\bjeline01,Minnesota Timberwolves,18.3,2.3,5.5,.424,0.9,2.7,.316,1.5,2.8,.531,.503,0.7,0.9,.738,0.9,2.9,3.8,1.2,0.6,0.3,0.9,2.4,6.2
Kris Dunn\dunnkr01,Minnesota Timberwolves,17.1,1.5,4.0,.377,0.3,0.9,.288,1.2,3.1,.404,.411,0.5,0.8,.610,0.3,1.8,2.1,2.4,1.0,0.5,1.1,2.3,3.8
Omri Casspi\casspom01,Minnesota Timberwolves,17.1,1.5,2.9,.500,0.2,0.8,.200,1.3,2.2,.607,.526,0.4,0.6,.625,0.5,1.1,1.5,0.8,1.0,0.2,0.8,1.8,3.5
Tyus Jones\jonesty01,Minnesota Timberwolves,12.9,1.3,3.0,.414,0.4,1.2,.356,0.8,1.8,.454,.486,0.6,0.7,.767,0.2,1.0,1.1,2.6,0.8,0.1,0.6,0.8,3.5
Lance Stephenson\stephla01,Minnesota Timberwolves,11.2,1.7,3.5,.476,0.0,0.3,.000,1.7,3.2,.526,.476,0.2,0.3,.500,0.0,1.7,1.7,0.8,0.0,0.0,0.7,0.3,3.5
Cole Aldrich\aldrico01,Minnesota Timberwolves,8.6,0.7,1.4,.523,0.0,0.0,0,0.7,1.4,.523,.523,0.2,0.4,.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7
Adreian Payne\paynead01,Minnesota Timberwolves,7.5,1.3,3.0,.426,0.2,0.8,.200,1.1,2.2,.513,.454,0.8,1.1,.737,0.5,1.3,1.8,0.4,0.4,0.4,0.4,1.8,3.5
Jordan Hill\hilljo01,Minnesota Timberwolves,6.7,0.7,1.9,.385,0.0,0.0,0,0.7,1.9,.385,.385,0.3,0.3,1000,1.1,0.9,2.0,0.0,0.1,0.0,0.6,1.3,1.7
John Lucas III\lucasjo02,Minnesota Timberwolves,2.2,0.2,0.8,.250,0.0,0.2,.000,0.2,0.6,.333,.250,0.0,0.0,0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.4
Kawhi Leonard\leonaka01,San Antonio Spurs,33.4,8.6,17.7,.485,2.0,5.2,.380,6.6,12.5,.529,.541,6.3,7.2,.880,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5
LaMarcus Aldridge\aldrila01,San Antonio Spurs,32.4,6.9,14.6,.477,0.3,0.8,.411,6.6,13.8,.480,.488,3.1,3.8,.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3
Danny Green\greenda02,San Antonio Spurs,26.6,2.6,6.6,.392,1.7,4.6,.379,0.9,2.0,.420,.523,0.4,0.5,.844,0.5,2.8,3.3,1.8,1.0,0.8,1.1,1.8,7.3
Pau Gasol\gasolpa01,San Antonio Spurs,25.4,4.7,9.4,.502,0.9,1.6,.538,3.9,7.8,.494,.548,2.0,2.9,.707,1.7,6.2,7.8,2.3,0.4,1.1,1.3,1.7,12.4
Tony Parker\parketo01,San Antonio Spurs,25.2,4.2,9.0,.466,0.4,1.1,.333,3.8,7.9,.484,.486,1.3,1.9,.726,0.1,1.7,1.8,4.5,0.5,0.0,1.4,1.5,10.1
Patty Mills\millspa02,San Antonio Spurs,21.9,3.4,7.8,.440,1.8,4.4,.414,1.6,3.3,.474,.558,0.8,1.0,.825,0.3,1.5,1.8,3.5,0.8,0.0,1.3,1.4,9.5
Manu Ginobili\ginobma01,San Antonio Spurs,18.7,2.5,6.4,.390,1.3,3.3,.392,1.2,3.1,.387,.491,1.2,1.6,.804,0.4,1.9,2.3,2.7,1.2,0.2,1.4,1.7,7.5
David Lee\leeda02,San Antonio Spurs,18.7,3.1,5.3,.590,0.0,0.0,0,3.1,5.3,.590,.590,1.0,1.4,.708,1.9,3.7,5.6,1.6,0.4,0.5,1.0,1.6,7.3
Jonathon Simmons\simmojo02,San Antonio Spurs,17.8,2.3,5.4,.420,0.4,1.3,.294,1.9,4.1,.461,.456,1.3,1.7,.750,0.3,1.8,2.1,1.6,0.6,0.3,1.0,1.9,6.2
Dewayne Dedmon\dedmode01,San Antonio Spurs,17.5,2.1,3.4,.622,0.0,0.0,0,2.1,3.4,.622,.622,0.9,1.2,.699,1.7,4.8,6.5,0.6,0.5,0.8,0.8,2.4,5.1
Kyle Anderson\anderky01,San Antonio Spurs,14.2,1.3,2.9,.445,0.2,0.6,.375,1.1,2.3,.462,.481,0.6,0.8,.789,0.5,2.4,2.9,1.3,0.7,0.4,0.5,0.9,3.4
Davis Bertans\bertada01,San Antonio Spurs,12.1,1.5,3.5,.440,1.0,2.6,.399,0.5,0.9,.557,.588,0.4,0.5,.824,0.3,1.1,1.5,0.7,0.3,0.4,0.5,1.1,4.5
Nicolas Laprovittola\laproni01,San Antonio Spurs,9.7,1.1,2.6,.426,0.6,1.5,.370,0.6,1.1,.500,.532,0.5,0.5,1000,0.1,0.5,0.6,1.6,0.2,0.1,1.1,1.1,3.3
Dejounte Murray\murrade01,San Antonio Spurs,8.5,1.3,3.1,.431,0.2,0.6,.391,1.1,2.4,.441,.470,0.6,0.8,.700,0.2,0.9,1.1,1.3,0.2,0.2,1.0,0.8,3.4
Bryn Forbes\forbebr01,San Antonio Spurs,7.9,1.0,2.8,.364,0.5,1.5,.321,0.5,1.3,.413,.449,0.1,0.2,.833,0.1,0.6,0.6,0.6,0.0,0.0,0.3,0.6,2.6
Joel Anthony\anthojo01,San Antonio Spurs,6.4,0.5,0.8,.625,0.0,0.0,0,0.5,0.8,.625,.625,0.3,0.4,.625,0.4,1.2,1.6,0.2,0.1,0.3,0.2,0.6,1.3
Paul George\georgpa01,Indiana Pacers,35.9,8.3,18.0,.461,2.6,6.6,.393,5.7,11.4,.501,.534,4.5,5.0,.898,0.8,5.8,6.6,3.3,1.6,0.4,2.9,2.7,23.7
Jeff Teague\teaguje01,Indiana Pacers,32.4,4.9,11.1,.442,1.1,3.1,.357,3.8,8.0,.475,.492,4.4,5.1,.867,0.4,3.6,4.0,7.8,1.2,0.4,2.6,2.0,15.3
Myles Turner\turnemy01,Indiana Pacers,31.4,5.5,10.7,.511,0.5,1.4,.348,5.0,9.3,.536,.534,3.0,3.7,.809,1.7,5.6,7.3,1.3,0.9,2.1,1.3,3.2,14.5
Thaddeus Young\youngth01,Indiana Pacers,30.2,4.9,9.3,.527,0.6,1.6,.381,4.3,7.7,.557,.560,0.6,1.2,.523,1.8,4.3,6.1,1.6,1.5,0.4,1.3,1.8,11.0
